data,deviceId,timestamp
"{""message"":[-0.002807617,0.02697754,0.9770508,21]}",Python,1551004285002
"{""message"":[-0.002807617,0.02697754,0.9770508,23]}",Python,1551004285520
"{""message"":[-0.002807617,0.02697754,0.9776611,26]}",Python,1551004286044
"{""message"":[-0.003417969,0.02270508,0.9776611,28]}",Python,1551004286561
"{""message"":[-0.003417969,0.02270508,0.9776611,31]}",Python,1551004287052
"{""message"":[-0.003417969,0.02270508,0.9776611,34]}",Python,1551004287572
"{""message"":[-0.003417969,0.02270508,0.9776611,37]}",Python,1551004288077
"{""message"":[-0.003417969,0.02270508,0.9776611,39]}",Python,1551004288594
"{""message"":[-0.003417969,0.02270508,0.9776611,42]}",Python,1551004289105
"{""message"":[-0.003417969,0.02270508,0.9776611,44]}",Python,1551004289623
"{""message"":[-0.003417969,0.02270508,0.9832764,47]}",Python,1551004290131
"{""message"":[-0.004882813,0.0246582,0.9832764,50]}",Python,1551004290655
"{""message"":[-0.004882813,0.0246582,0.9832764,55]}",Python,1551004291733
"{""message"":[-0.004882813,0.0246582,0.9832764,52]}",Python,1551004291736
"{""message"":[-0.004882813,0.0246582,0.9832764,57]}",Python,1551004292180
"{""message"":[-0.004882813,0.0246582,0.9832764,60]}",Python,1551004292726
"{""message"":[-0.004882813,0.0246582,0.9832764,63]}",Python,1551004293207
"{""message"":[-0.004882813,0.0246582,0.9832764,65]}",Python,1551004293727
"{""message"":[-0.004882813,0.0246582,0.972168,68]}",Python,1551004294234
"{""message"":[-0.00378418,0.02575684,0.972168,70]}",Python,1551004294758
"{""message"":[-0.00378418,0.02575684,0.972168,73]}",Python,1551004295281
"{""message"":[-0.00378418,0.02575684,0.972168,76]}",Python,1551004295947
"{""message"":[-0.00378418,0.02575684,0.972168,78]}",Python,1551004296336
"{""message"":[-0.00378418,0.02575684,0.972168,81]}",Python,1551004296823
"{""message"":[-0.004638672,0.02844238,0.9783936,102]}",Python,1551004301179
"{""message"":[-0.004638672,0.02844238,0.9783936,99]}",Python,1551004301180
